,DataSource,Unnamed:1,https://data.worldbank.org,Unnamed:3,Unnamed:4,,Unnamed
0,Data,NaN,2016,NaN,NaN,,NaN
1, CountryName,CountryCode,Population growth,Total population,Area (sq. km),International Visitors,Coronavirus Cases
2,Brazil,BRA,0.817555711,207652865,8358140,B,59324
3,Switzerland,CHE,1.077221168,8372098,39516,B,29061
4,Germany,DEU,1.193866758,82667685,348900,A,156727
5,Denmark,DNK,0.834637611,NaN,42262,B,8575
6,Spain,ESP,-0.008048086,46443959,500210,A,223759
7,France,FRA,0.407491036,66896109,547557,A,161488
8,Japan,JPN,-0.115284177,126994511,364560,B,13231
9,Greece,GRC,-0.687542545,10746740,128900,C,2506
10,Iran,IRN,1.1487886,80277428,1628760,D,90481
11,Kuwait,KWT,2.924206194,4052584,NaN,C,3075
12,Morocco,MAR,NaN,35276786,446300,C,4047
13,Nigeria,NGA,2.619033526,185989640,910770,D,1182
14,Qatar,QAT,3.495069918,2569804,11610,B,10287
15,Sweden,SWE,NaN,9903122,407310,C,18640
16,India,IND,1.148214693,1324171354,2973190,B,26917
